Survey name,"What can researchers do to improve the quality of health and medical research in Australia? (Queensland University of Technology, Monday 8th April)",,,Report title,"What can researchers do to improve the quality of health and medical research in Australia? (Queensland University of Technology, Monday 8th April)"
Survey description,This brief survey is to help us focus the day on the issues that you think are most important.,,,Report introduction,
Respondent #,Submit date,Email/Password,"Of the following 20 problems in research, please select which five (or fewer) you think are the most important to address. Please focus on the most important national issues for Australia.   (The list order has been randomised, so related policies may not be together)",,,,,,,,,,,,,,,,,,,,Are there other major problems in research in Australia that we should consider at the meeting? Please tell us below,"Which of the following 21 potential policy changes or actions would you endorse to help improve research in Australia? Please click five or fewer policies.  We appreciate that a lot of detail is missing here, but we are interested in which policies have your broad support with the details to be worked out.  (The order of the policies has been randomised)",,,,,,,,,,,,,,,,,,,,,Please suggest other possible policy changes or actions,Please share the policies or practices that you use in your own research to maximise research quality. If there are none then please write 'None'. All answers are anonymous.,Please share the policies or practices that your institution have already implemented to maximise research quality. If there are none then please write 'None'. All answers are anonymous.,What is your broad area of research?,
,,,current.problems,,,,,,,,,,,,,,,,,,,,other.issues,policy.endorse,,,,,,,,,,,,,,,,,,,,,your.policy,your.practice,your.inst.policy,,
,,,Low numbers of replication studies performed (for lack of funding or other reasons),Low rates of data and code sharing,Low rates of registration of protocols and clinical trials,Lack of involvement of statisticians and epidemiologists on research teams,"Poorly conducted research, e.g., failure to randomise, failure to blind",Unwillingness of journals and researchers to publish null results or replication studies,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",Insufficient training of researchers and supervisors in research reproducibility and basic study design,Over-emphasis on p-values/statistical significance and re-analysing data until statistical significance is achieved,Insufficient use of research design and reporting guidelines (EQUATOR),Resistance to correct or retract flawed papers,Insufficient national oversight of universities and research institutes,Poor-quality systematic reviews and meta-analyses,Poor research culture of institutions/research groups,Too much competition for too little funding,Suppression/sanitisation of unfavourable or commercially damaging results,Predatory journals and conferences,Training too many PhD students given the level of research funding available,Discrimination against female researchers,Researchers and the media hyping preliminary results that give the public false hope,,"Better and continued training in research methods at all career stages, ideally using a national model that is available to all researchers",Mandating the inclusion of accredited statisticians and data management experts on research teams,"Requiring that all Australian trials be registered, make a protocol available, and publish their results, with consequences for researchers who fail to comply",That reproducibility training and practice becomes integrated into Masters and PhDs ,That some funding be specifically set aside to fund replication studies,"New national funding specifically for researchers to write up unpublished null findings, recent or past",Requiring a replication component as part of grant proposals,"Requiring research data to be deposited in an open repository after studies are published, with a controlled access option for sensitive data",Lobbying universities to downplay league tables (like the Times Higher Education tables) and focus on real benefits to patients and the public,Revising academic incentives so that replication/reproducibility studies and open practices are highly valued,Awarding research funding based on the national burden of disease rather than the current investigator-driven model,"Australia to set-up a James Lind Alliance to bring together clinicians, patients and carers to discuss research priorities",New national funding for fellowships for statisticians and health economists,Policies to encourage wider use of project management tools such as github and training in version control,A national system of random audits that will provide a detailed examination of the quality of a researcher or research group. Only around 1% of researchers would be audited.,That Australia implement a program similar to the UK's foresight scheme where policy makers and academics work together for 12 months to develop evidence-based policies on important national issues,That specific funding be set aside for truly innovative projects,A national inquiry into the burden of research ethics and governance in health and medical research Australia,That a national advisory board for research integrity be created (see this recent article on plans in the US),That specific funding be made available for meta-research (researching the research process) and journalology (the science of publication practices),"Educating students and researchers about scholarly communication, including predatory conferences and journals",,,,,Other
1,"2019-03-11 09:27:23",,,,,,,Unwillingness of journals and researchers to publish null results or replication studies,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",Insufficient training of researchers and supervisors in research reproducibility and basic study design,Over-emphasis on p-values/statistical significance and re-analysing data until statistical significance is achieved,,,,,,Too much competition for too little funding,,,,,,,,,"Requiring that all Australian trials be registered, make a protocol available, and publish their results, with consequences for researchers who fail to comply",,,"New national funding specifically for researchers to write up unpublished null findings, recent or past",,,,,,"Australia to set-up a James Lind Alliance to bring together clinicians, patients and carers to discuss research priorities",,,,,,A national inquiry into the burden of research ethics and governance in health and medical research Australia,,,,,"Program of research; not individual projects. This must include SR, point prevalence, piloting etc, prior to RCTs.   Leadership by the necessary stakeholders - including consumers  Long term collaboration with statisticians and HEs",Availability of talented statisticians and HE.  Good data management software,Clinical Sciences,
2,"2019-03-11 09:44:52",,Low numbers of replication studies performed (for lack of funding or other reasons),,,,,Unwillingness of journals and researchers to publish null results or replication studies,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",,,,,,,,,Suppression/sanitisation of unfavourable or commercially damaging results,,,,,,,,,,,,Requiring a replication component as part of grant proposals,"Requiring research data to be deposited in an open repository after studies are published, with a controlled access option for sensitive data",,,Awarding research funding based on the national burden of disease rather than the current investigator-driven model,,,,,That Australia implement a program similar to the UK's foresight scheme where policy makers and academics work together for 12 months to develop evidence-based policies on important national issues,,,That a national advisory board for research integrity be created (see this recent article on plans in the US),,,,,,Other,Health Systematic reviews
3,"2019-03-11 09:50:30",,,,,Lack of involvement of statisticians and epidemiologists on research teams,,,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",,,,,,,,Too much competition for too little funding,,,,,Researchers and the media hyping preliminary results that give the public false hope,,,,,,,,,,,Revising academic incentives so that replication/reproducibility studies and open practices are highly valued,Awarding research funding based on the national burden of disease rather than the current investigator-driven model,"Australia to set-up a James Lind Alliance to bring together clinicians, patients and carers to discuss research priorities",,,A national system of random audits that will provide a detailed examination of the quality of a researcher or research group. Only around 1% of researchers would be audited.,,,A national inquiry into the burden of research ethics and governance in health and medical research Australia,,,,,Follow reporting guidelines  Think about the end-user,,Health Services Research,
4,"2019-03-11 09:56:09",,,,,Lack of involvement of statisticians and epidemiologists on research teams,"Poorly conducted research, e.g., failure to randomise, failure to blind",,,Insufficient training of researchers and supervisors in research reproducibility and basic study design,Over-emphasis on p-values/statistical significance and re-analysing data until statistical significance is achieved,,,,,,,,,,Discrimination against female researchers,,"Journal system of peer review is clearly broken. The response times are too long, the editors no longer read reviewers comments and make specific recommendations, and editors in general seem to have abandoned making editorial decisions.   It seems that there may be a need for a designated statistical advisor to editors in journals across the board, because data is abundant and quantitive methods are being used in fields that are lagging.","Better and continued training in research methods at all career stages, ideally using a national model that is available to all researchers",Mandating the inclusion of accredited statisticians and data management experts on research teams,,That reproducibility training and practice becomes integrated into Masters and PhDs ,,,,,Lobbying universities to downplay league tables (like the Times Higher Education tables) and focus on real benefits to patients and the public,,,,New national funding for fellowships for statisticians and health economists,,,,,,,,,,,,Other,statistics
5,"2019-03-11 10:07:09",,,,Low rates of registration of protocols and clinical trials,Lack of involvement of statisticians and epidemiologists on research teams,,,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",,Over-emphasis on p-values/statistical significance and re-analysing data until statistical significance is achieved,,,,,,Too much competition for too little funding,,,,,,,"Better and continued training in research methods at all career stages, ideally using a national model that is available to all researchers",,,,,,,,Lobbying universities to downplay league tables (like the Times Higher Education tables) and focus on real benefits to patients and the public,,,"Australia to set-up a James Lind Alliance to bring together clinicians, patients and carers to discuss research priorities",New national funding for fellowships for statisticians and health economists,,,,,A national inquiry into the burden of research ethics and governance in health and medical research Australia,,,,Reduce the emphasis on citations and focus more on impact in the real world,use of existing policies uni and external and resources eg EQUATOR and other research guidelines,variety of policies and regular stream of workshops to provide training re specific research skills and methodologies available to students and staff,Health Services Research,
6,"2019-03-11 11:29:43",,,Low rates of data and code sharing,,Lack of involvement of statisticians and epidemiologists on research teams,,,,Insufficient training of researchers and supervisors in research reproducibility and basic study design,,,Resistance to correct or retract flawed papers,,,,,,,,,,Failing to communicate the inherent uncertainty of research findings in general while still emphasizing the value of objective data collection ,,Mandating the inclusion of accredited statisticians and data management experts on research teams,"Requiring that all Australian trials be registered, make a protocol available, and publish their results, with consequences for researchers who fail to comply",That reproducibility training and practice becomes integrated into Masters and PhDs ,,,,"Requiring research data to be deposited in an open repository after studies are published, with a controlled access option for sensitive data",,,,,,Policies to encourage wider use of project management tools such as github and training in version control,,,,,,,,,"Sharing code, data, additional study materials, and preliminary presentations in public repositories. ",Unknown. ,Public Health,
7,"2019-03-19 15:32:26",,,,,,,,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",Insufficient training of researchers and supervisors in research reproducibility and basic study design,,,,Insufficient national oversight of universities and research institutes,,,Too much competition for too little funding,,,Training too many PhD students given the level of research funding available,,,"(1) Lack of independent (not internal), ongoing transparent rigorous review and benchmarking analyses of all ARC & NHMRC grant data and peer-review processes;      (2) Insufficient training of HDRs and above in research translation, IP and associated issues to progress discoveries from the benchside to the beside and boardroom, i.e., how can more medical research achieve genuine  impact and benefits for society when the vast majority of researchers have not been trained in doing and peer-reviewing research translation and commercialisation? [largely due to the perverse incentive of 'publish or perish'];      (3) The approach by universities to facilitating genuine non-academia career pathways for PhD students has been slow and reactive, i.e., 20–30 years too late! See also https://thesiswhisperer.com/2019/03/13/anti-phd/      (4) Professor Dwyer, a former head of immunology at the prestigious Yale University, said UQ had been ""duped [by] people who have a religious zeal to demonstrate what the Supreme Court has recently called the dangerous delusions of a charlatan"".    ...Professor Dwyer said it was concerning UQ's ethics committee had approved the research in the first place.    ""Some of the language in there is so couched in mystical nonsense, à la Benhayon, that I would have thought for any respectable ethics committee, alarm bells would have gone off … but they didn't,"" he said.  https://www.abc.net.au/news/2019-03-15/universal-medicine-health-studies-wont-be-pulled-by-uq/10896690    https://www.news.com.au/lifestyle/real-life/universal-medicine-cult-founder-exposed-as-charlatan/news-story/626fe650621ee65ba16b1a7af2f62aa7    https://7plus.com.au/sunday-night?episode-id=SNIT19-004      (5) 'Interdisciplinary research has consistently lower funding success' (Bromham et al., 29 June 2016)    https://www.nature.com/articles/nature18315    https://www.nature.com/news/meet-the-challenge-of-interdisciplinary-science-1.20185    https://www.nature.com/news/interdisciplinary-proposals-struggle-to-get-funded-1.20189    i.e., a lot of boring, derivative and unidimensional research gets funded in Australia because it is considered 'excellent' by traditional siloed academic standards; and the fact that the interdisciplinary research training needs to start early from Honours / Masters level.    See also: ""A major reason that pervasive problems such as poor quality publications, hyper-competition and hype have been allowed to fester is the miracle-machine ideology: give us money, leave us alone and we’ll solve the world’s problems...     Vast improvements in the scientific system could be had if science agencies strengthened the ties that link research agendas to societal needs, and counteract the perverse incentives that commit scientists to careers measured by publications and grant dollars rather than the creation of socially valuable knowledge.""  http://www.nature.com/news/kill-the-myth-of-the-miracle-machine-1.22283    https://www.thenewatlantis.com/publications/saving-science    https://theconversation.com/co-operative-research-revolution-could-answer-call-to-transform-science-and-society-81447",,,,,,,Requiring a replication component as part of grant proposals,"Requiring research data to be deposited in an open repository after studies are published, with a controlled access option for sensitive data",,Revising academic incentives so that replication/reproducibility studies and open practices are highly valued,,,,,A national system of random audits that will provide a detailed examination of the quality of a researcher or research group. Only around 1% of researchers would be audited.,That Australia implement a program similar to the UK's foresight scheme where policy makers and academics work together for 12 months to develop evidence-based policies on important national issues,,,,,,"Generally any workable set of bipartisan/multi-sector policies and mechanisms that increase and maintain transparency (and hence accountability) across the entire research ecosystem.    See also:    The current challenge for data science and technology (DST) in healthcare is moving beyond the “dancing bear” stage, where “the wonder is not how well the bear dances, but that he dances at all.” It’s time for DST to evolve past the novelty publications and the click bait, and demonstrate its ability to materially impact health and disease.  https://www.forbes.com/sites/davidshaywitz/2019/01/16/novartis-ceo-who-wanted-to-bring-tech-into-pharma-now-explains-why-its-so-hard/amp/      The health care innovation bubble  https://www.sciencedirect.com/science/article/pii/S2213076417301707      Better, fairer, more meaningful research evaluation – in seven hashtags  http://blogs.lse.ac.uk/impactofsocialsciences/2018/09/27/better-research-evaluation-in-seven-hashtags/      Then there is the question of whether to use metrics or narrative. If a simple, number based system of measuring impact could be developed it would probably assume as much importance as the measurement of publications and citations—but nobody has developed such a system; and it’s almost certainly impossible to do so. Thus a near consensus has been reached that “narratives with numbers” is the best method.  https://blogs.bmj.com/bmj/2018/07/30/richard-smith-measuring-research-impact-rage-hard-get-right/      It’s Time to Make Business School Research More Relevant  https://hbr.org/2018/07/its-time-to-make-business-school-research-more-relevant      ...Many universities are “waking up to the fact that the PhD is not a good training model for academics.”    ...in Australia once somebody leaves the publishing cycle it is generally harder to come back in.”  http://campusmorningmail.com.au/news/in-conversation-with-tanya-monro/      Research Excellence and Scholarly Publishing  https://soundcloud.com/user-466792516/research-excellence-and-scholarly-publishing      Why don't more low-quality patents get rejected? A recent paper published by the Brookings Institution offers fascinating insights into this question. Written by legal scholars Michael Frakes and Melissa Wasserman, the paper identifies three ways the patent process encourages approval of low-quality patents:    • The United States Patent and Trademark Office (USPTO) is funded by fees—and the agency gets more fees if it approves an application.    • Unlimited opportunities to refile rejected applications means sometimes granting a patent is the only way to get rid of a persistent applicant.    • Patent examiners are given less time to review patent applications as they gain seniority, leading to less thorough reviews.  https://arstechnica.com/tech-policy/2017/12/these-experts-figured-out-why-so-many-bogus-patents-get-approved/    https://arstechnica.com/tech-policy/2019/03/theranos-how-a-broken-patent-system-sustained-its-decade-long-deception/      In peer review we (don't) trust: How peer review's filtering poses a systemic risk to science  https://www.researchers.one/article/2018-09-17      Ten myths around open scholarly publishing  https://peerj.com/preprints/27580/        What about scientists complaining about a system that is trying to micromanage them? Is the new assessment system we are promoting serving us better than the old system?   We don’t want all academics to be writing only for academics, but that should still be an important part of their work. Discovery-led science is still something we want to support. What we are talking about is about finding the right balance. And across Europe, in the US and in many other countries, we’re seeing a shift towards more applied and impact-oriented research.    If we tip the balance so far that suddenly there’s not enough discovery-led science taking place, it would be damaging. To keep that balance right is a perennial question of research policy. There’s no correct answer.        Any guidelines on how to keep that balance?  If we take a step back and we consider the scale of the scientific academic enterprise, the extent to which it has grown over the past 30 years, I think it’s right to ask the question: are we seeing a corresponding increase in the contribution of that activity to meeting the really pressing needs of our economy and society? That’s the big policy funding question. Of course, people are going to be nervous and resistant to changing the incentive system, but more must be done to ensure that the investment that we, as countries, are making in science and research is really delivering what we need.  https://observatoriosociallacaixa.org/en/-/entrevist-james-wildson","Not buy into the perverse incentives of 'prestige pandering' (or 'academic wankery') in academia. Read a typical min-bio of a senior academic and it's often about academic credentials and traditional esteem measures (that are obscure to the general public), not what genuine benefits the research has had for the wider community, which includes training other researchers and the impact that has had on their lives and beyond. For example:     ""He was eminent in his field. But for me, his real impact was in his role as a mentor to students.""  https://www.nature.com/articles/d41586-018-06959-0      Does More Achievement Make Us Better Physicians?  The Academic Arms Race  https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/2672578",Research Data Manager (RDM)  https://research.uq.edu.au/rmbt/uqrdm    https://guides.library.uq.edu.au/for-researchers/uq-research-data-manager/using-uqrdmcloud,Clinical Sciences,
8,"2019-03-12 08:46:46",,Low numbers of replication studies performed (for lack of funding or other reasons),,,,,,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",,,Insufficient use of research design and reporting guidelines (EQUATOR),,,,Poor research culture of institutions/research groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"2019-03-12 13:07:00",,,,,,"Poorly conducted research, e.g., failure to randomise, failure to blind",,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",Insufficient training of researchers and supervisors in research reproducibility and basic study design,Over-emphasis on p-values/statistical significance and re-analysing data until statistical significance is achieved,,,,,,,Suppression/sanitisation of unfavourable or commercially damaging results,,,,,,,,"Requiring that all Australian trials be registered, make a protocol available, and publish their results, with consequences for researchers who fail to comply",That reproducibility training and practice becomes integrated into Masters and PhDs ,,,,"Requiring research data to be deposited in an open repository after studies are published, with a controlled access option for sensitive data",,,,,,,A national system of random audits that will provide a detailed examination of the quality of a researcher or research group. Only around 1% of researchers would be audited.,,,A national inquiry into the burden of research ethics and governance in health and medical research Australia,,,,,Sharing data and code whenever possible  Thinking about end users early in the process  Being honest about things that went wrong  Writing a study protocol  Presenting initial results in a blinded/scrambled format to reduce the impact of conflicts of interest,Training in research ethics  Training on predatory journals  Training and help available on data deposition,Health Services Research,
10,"2019-03-12 16:10:33",,,,,,,Unwillingness of journals and researchers to publish null results or replication studies,,,,,,,,,Too much competition for too little funding,Suppression/sanitisation of unfavourable or commercially damaging results,,,Discrimination against female researchers,,"Educating the public about the positive qualities of research - negative publicity about research reaches the public, but most of the public has no idea of the rigors of research.",,,,That reproducibility training and practice becomes integrated into Masters and PhDs ,,"New national funding specifically for researchers to write up unpublished null findings, recent or past",,"Requiring research data to be deposited in an open repository after studies are published, with a controlled access option for sensitive data",,,,,,,,That Australia implement a program similar to the UK's foresight scheme where policy makers and academics work together for 12 months to develop evidence-based policies on important national issues,That specific funding be set aside for truly innovative projects,,,,,,n/a,-,Not a researcher,
11,"2019-03-12 16:52:50",,,,,,,,,Insufficient training of researchers and supervisors in research reproducibility and basic study design,,,Resistance to correct or retract flawed papers,,,,Too much competition for too little funding,,,Training too many PhD students given the level of research funding available,,,,,Mandating the inclusion of accredited statisticians and data management experts on research teams,,,,,,,,,,,New national funding for fellowships for statisticians and health economists,,,,,A national inquiry into the burden of research ethics and governance in health and medical research Australia,,,,,Being prepared to change my view of the world if compelling data falsifies my prior hypothesis.,None,,
12,"2019-03-12 17:36:45",,,,,,"Poorly conducted research, e.g., failure to randomise, failure to blind",,,Insufficient training of researchers and supervisors in research reproducibility and basic study design,Over-emphasis on p-values/statistical significance and re-analysing data until statistical significance is achieved,,,,,,,Suppression/sanitisation of unfavourable or commercially damaging results,Predatory journals and conferences,,,,,"Better and continued training in research methods at all career stages, ideally using a national model that is available to all researchers",,,,,,,,Lobbying universities to downplay league tables (like the Times Higher Education tables) and focus on real benefits to patients and the public,,,,,Policies to encourage wider use of project management tools such as github and training in version control,,,,,,,"Educating students and researchers about scholarly communication, including predatory conferences and journals",,Statistical teaching sessions  GitHub pipelines  In-group project proposal and constructive critique  Training in basic research methods  ,Statistical unit and statistics teaching  Data warehousing ,Basic Science,
13,"2019-03-12 17:29:57",,,,,Lack of involvement of statisticians and epidemiologists on research teams,,,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",Insufficient training of researchers and supervisors in research reproducibility and basic study design,,,,Insufficient national oversight of universities and research institutes,,Poor research culture of institutions/research groups,,,,,,,There is no training on HOW to translate (for public policy) or commercialise (for profit) research. This is particularly important most funding is tied to engagement and impact and all universities expect researchers to bring in external money/funding. ,"Better and continued training in research methods at all career stages, ideally using a national model that is available to all researchers",,,That reproducibility training and practice becomes integrated into Masters and PhDs ,,,,,Lobbying universities to downplay league tables (like the Times Higher Education tables) and focus on real benefits to patients and the public,,,,New national funding for fellowships for statisticians and health economists,,,That Australia implement a program similar to the UK's foresight scheme where policy makers and academics work together for 12 months to develop evidence-based policies on important national issues,,,,,,"All PhD, postdoc and EMCR professional development should include education on HOW to translate (for policy or to underpin the research of others) or commercialise (for profit), their research. This education would include project management. In this way, if a research waste is reduced as specific insight and questions are asked (and should be answered) about their research and research is planned and managed with a QPI not just to a KPI from the university.",Construct a research strategy map prior to commencing research to avoid grant chasing and to maximise successful outcomes. Do not rely on chance (grant) funding. Employ project management practices and design a budget to complete the project properly rather than piecemeal funding. Then I find the $ to match the study design.,None,Other,Consultant research strategist/educator translation & commercialisation/knowledge and investment broker for research
14,"2019-03-13 03:07:53",,,Low rates of data and code sharing,,,"Poorly conducted research, e.g., failure to randomise, failure to blind",,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",,,,,,,,,,,,,,Preregistration,,,"Requiring that all Australian trials be registered, make a protocol available, and publish their results, with consequences for researchers who fail to comply",,,,,"Requiring research data to be deposited in an open repository after studies are published, with a controlled access option for sensitive data",,Revising academic incentives so that replication/reproducibility studies and open practices are highly valued,,,,,,,,,,,,"broader than data -- all research contents including materials, code, and other research contents, products, and process.",,,,
15,"2019-03-13 08:44:47",,,Low rates of data and code sharing,,,"Poorly conducted research, e.g., failure to randomise, failure to blind",,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",Insufficient training of researchers and supervisors in research reproducibility and basic study design,,,,,,Poor research culture of institutions/research groups,,,,,,,,,,,That reproducibility training and practice becomes integrated into Masters and PhDs ,,,,"Requiring research data to be deposited in an open repository after studies are published, with a controlled access option for sensitive data",,Revising academic incentives so that replication/reproducibility studies and open practices are highly valued,,,,,,,,,,That specific funding be made available for meta-research (researching the research process) and journalology (the science of publication practices),"Educating students and researchers about scholarly communication, including predatory conferences and journals",,Publishing open access  Making data available  Using reporting guidelines,Training of HDRs  Specific sessions on a publication practices,Other,Publishing and research ethics
16,"2019-03-14 12:16:07",,Low numbers of replication studies performed (for lack of funding or other reasons),,,,"Poorly conducted research, e.g., failure to randomise, failure to blind",,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",Insufficient training of researchers and supervisors in research reproducibility and basic study design,,,,,,,,,,Training too many PhD students given the level of research funding available,,,,,,,That reproducibility training and practice becomes integrated into Masters and PhDs ,,,,"Requiring research data to be deposited in an open repository after studies are published, with a controlled access option for sensitive data",,Revising academic incentives so that replication/reproducibility studies and open practices are highly valued,,,,,,,,,,That specific funding be made available for meta-research (researching the research process) and journalology (the science of publication practices),,,,,Other,epidemiology
17,"2019-03-14 17:24:11",,Low numbers of replication studies performed (for lack of funding or other reasons),,,,,Unwillingness of journals and researchers to publish null results or replication studies,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",,Over-emphasis on p-values/statistical significance and re-analysing data until statistical significance is achieved,,,,,Poor research culture of institutions/research groups,,,,,,,,,,,,That some funding be specifically set aside to fund replication studies,"New national funding specifically for researchers to write up unpublished null findings, recent or past",,,,,,,New national funding for fellowships for statisticians and health economists,,A national system of random audits that will provide a detailed examination of the quality of a researcher or research group. Only around 1% of researchers would be audited.,,That specific funding be set aside for truly innovative projects,,,,,,,,Health Services Research,
18,"2019-03-18 09:52:45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"2019-03-18 09:54:17",,,,,,,Unwillingness of journals and researchers to publish null results or replication studies,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",,Over-emphasis on p-values/statistical significance and re-analysing data until statistical significance is achieved,,,,,,Too much competition for too little funding,,Predatory journals and conferences,,,,,"Better and continued training in research methods at all career stages, ideally using a national model that is available to all researchers",,,That reproducibility training and practice becomes integrated into Masters and PhDs ,,,,,Lobbying universities to downplay league tables (like the Times Higher Education tables) and focus on real benefits to patients and the public,,,,New national funding for fellowships for statisticians and health economists,,,That Australia implement a program similar to the UK's foresight scheme where policy makers and academics work together for 12 months to develop evidence-based policies on important national issues,,,,,,,,,Basic Science,
20,"2019-03-18 09:51:21",,Low numbers of replication studies performed (for lack of funding or other reasons),,,,,,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",,,,,,,,Too much competition for too little funding,,,,,,,,,,That reproducibility training and practice becomes integrated into Masters and PhDs ,,,,,,,Awarding research funding based on the national burden of disease rather than the current investigator-driven model,,,,,That Australia implement a program similar to the UK's foresight scheme where policy makers and academics work together for 12 months to develop evidence-based policies on important national issues,,,,,,,Unsure,Unsure,Public Health,
21,"2019-03-21 19:44:10",,Low numbers of replication studies performed (for lack of funding or other reasons),,,,"Poorly conducted research, e.g., failure to randomise, failure to blind",,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",Insufficient training of researchers and supervisors in research reproducibility and basic study design,,,,,,,Too much competition for too little funding,,,,,,Too little government willingness to let go of the 'picking-winners' approach,"Better and continued training in research methods at all career stages, ideally using a national model that is available to all researchers",,,,,,,,,Revising academic incentives so that replication/reproducibility studies and open practices are highly valued,,,,,,,That specific funding be set aside for truly innovative projects,A national inquiry into the burden of research ethics and governance in health and medical research Australia,,That specific funding be made available for meta-research (researching the research process) and journalology (the science of publication practices),,,I would like to attach a document. Where can I send it?,As above,Other,Translation
22,"2019-03-18 09:54:01",,,,,,,Unwillingness of journals and researchers to publish null results or replication studies,,Insufficient training of researchers and supervisors in research reproducibility and basic study design,,,,,Poor-quality systematic reviews and meta-analyses,,Too much competition for too little funding,,,,Discrimination against female researchers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"2019-03-18 10:00:09",,Low numbers of replication studies performed (for lack of funding or other reasons),,Low rates of registration of protocols and clinical trials,,"Poorly conducted research, e.g., failure to randomise, failure to blind",,,,Over-emphasis on p-values/statistical significance and re-analysing data until statistical significance is achieved,Insufficient use of research design and reporting guidelines (EQUATOR),,,,,,,,,,,,,,"Requiring that all Australian trials be registered, make a protocol available, and publish their results, with consequences for researchers who fail to comply",That reproducibility training and practice becomes integrated into Masters and PhDs ,,,Requiring a replication component as part of grant proposals,,,,,,,,A national system of random audits that will provide a detailed examination of the quality of a researcher or research group. Only around 1% of researchers would be audited.,,,A national inquiry into the burden of research ethics and governance in health and medical research Australia,,,,,"Peer review of protocol/proposal through at least two different entities (grant review, research initiative review). Registering trial and outcomes prospectively. Publishing protocol.",Peer review,Clinical Sciences,
24,"2019-03-18 10:01:42",,,,,,,,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",Insufficient training of researchers and supervisors in research reproducibility and basic study design,,,,,,Poor research culture of institutions/research groups,,Suppression/sanitisation of unfavourable or commercially damaging results,,,Discrimination against female researchers,,"Research engagement of clinicians without appropriate training, supervision, time or support. ",,Mandating the inclusion of accredited statisticians and data management experts on research teams,"Requiring that all Australian trials be registered, make a protocol available, and publish their results, with consequences for researchers who fail to comply",,That some funding be specifically set aside to fund replication studies,,,,,,,,,Policies to encourage wider use of project management tools such as github and training in version control,,,,A national inquiry into the burden of research ethics and governance in health and medical research Australia,,,,,,,,
